tweet_id,author_id,tweet,lang,tweet_time,like_count,follower_count,following_count,tweet_count,retweet_count,quote_count,reply_count,call_berlin_time,annotate_sent,annotate_person,lowercase,tokenized
1496825557236989953,1374305783362519043,"@velo_swiss @olgatokariuk @akk @jakluge easiest explanation to not doing anything: we're weak, halpless, unarmed. Oh yes, we're still biggest economy on the continent but what can we do?",en,2022-02-24 12:33:17+00:00,5,11,147,680,0,0,1,2022-05-07 11:20:23,-1.0,E,"@velo_swiss @olgatokariuk @akk @jakluge easiest explanation to not doing anything: we're weak, halpless, unarmed. oh yes, we're still biggest economy on the continent but what can we do?","<user> <user> <user> <user> easiest explanation to not doing anything: we're weak, halpless, unarmed. oh yes, we're still biggest economy on the continent but what can we do?"
1431635522628292609,62644743,Right here in Namibia there are young people with the potential to outsmart Bill Gates or Mark Zuckerberg. Right here in Africa there are countries with potential to be better than Switzerland or Singapore. Only problem is we don't invest in our people's potential. Let's START.,en,2021-08-28 15:11:21+00:00,157,59179,3348,64252,32,1,11,2022-05-07 11:20:23,0.0,T,right here in namibia there are young people with the potential to outsmart bill gates or mark zuckerberg. right here in africa there are countries with potential to be better than switzerland or singapore. only problem is we don't invest in our people's potential. let's start.,right here in namibia there are young people with the potential to outsmart bill gates or mark zuckerberg. right here in africa there are countries with potential to be better than switzerland or singapore. only problem is we don't invest in our people's potential. let's start.
1520035508684001280,1737965389,Schweizer Filme sind die Visitenkarte unseres Landes. Aber nicht nur das - sie schlagen Brücken - international &amp; national. Heute investieren CH-Fernsehstationen ins Filmschaffen der Schweiz. Internationale Anbieter aber nicht. Das #Filmgesetz korrigiert genau dies. @filmgesetzja,de,2022-04-29 13:41:20+00:00,38,555,426,2319,6,0,10,2022-05-07 11:20:23,0.0,P,schweizer filme sind die visitenkarte unseres landes. aber nicht nur das - sie schlagen brücken - international &amp; national. heute investieren ch-fernsehstationen ins filmschaffen der schweiz. internationale anbieter aber nicht. das #filmgesetz korrigiert genau dies. @filmgesetzja,schweizer filme sind die visitenkarte unseres landes. aber nicht nur das - sie schlagen brücken - international &amp; national. heute investieren ch-fernsehstationen ins filmschaffen der schweiz. internationale anbieter aber nicht. das film ge set z korrigiert genau dies. <user>
1425888766724481024,1359609143976488961,"@BonsaiHat @Ka1312TheRoll @prageru give me a good argument for why anarchism is totalitarian, without citing on authority, anarchism is best seen as less a system to which people move to but rather works as a weapon system and motor, also do i need to remind you of the swiss's place in the economy of war?.",en,2021-08-12 18:35:48+00:00,3,2304,877,76609,0,0,1,2022-05-07 11:20:23,-1.0,T,"@bonsaihat @ka1312theroll @prageru give me a good argument for why anarchism is totalitarian, without citing on authority, anarchism is best seen as less a system to which people move to but rather works as a weapon system and motor, also do i need to remind you of the swiss's place in the economy of war?.","<user> <user> <user> give me a good argument for why anarchism is totalitarian, without citing on authority, anarchism is best seen as less a system to which people move to but rather works as a weapon system and motor, also do i need to remind you of the swiss's place in the economy of war?."
1413615512580354048,343805997,@suzygeiger @joeynova33 Exactly what kind of economy do we have where millions make les money per hour than a “highly skilled” parking meter. They must be Swiss parking meters with jeweled movements.,en,2021-07-09 21:46:16+00:00,3,254,578,22064,2,0,0,2022-05-07 11:20:23,-1.0,T,@suzygeiger @joeynova33 exactly what kind of economy do we have where millions make les money per hour than a “highly skilled” parking meter. they must be swiss parking meters with jeweled movements.,<user> <user> exactly what kind of economy do we have where millions make les money per hour than a “highly skilled” parking meter. they must be swiss parking meters with jeweled movements.
1426009535630692355,4070326048,"Wrap up thoughts:

Once you clear out the greenskins the dwarfs become comfy as fuck. Their economy is so absurdly strong they eventually become the swiss bank of the warhammer world. I definitely felt their slowness, especially when fighting skaven, but they are tough as nails",en,2021-08-13 02:35:41+00:00,10,13672,1071,27706,0,0,2,2022-05-07 11:20:23,1.0,T,"wrap up thoughts:

once you clear out the greenskins the dwarfs become comfy as fuck. their economy is so absurdly strong they eventually become the swiss bank of the warhammer world. i definitely felt their slowness, especially when fighting skaven, but they are tough as nails","wrap up thoughts: once you clear out the greenskins the dwarfs become comfy as fuck. their economy is so absurdly strong they eventually become the swiss bank of the warhammer world. i definitely felt their slowness, especially when fighting skaven, but they are tough as nails"
1496542006226853888,1176205790937538571,@PKythreotis The same when banks in #Cyprus and #CreditSuisse #Switzerland were sending millions of #Libya stolen money by #Dabaiba and his accomplice #Lamlum using multiple bank accounts to other countries by way of #MoneyLaundering to invest in shady #bussiness and #RealEstate. #SwissLeaks,en,2022-02-23 17:46:33+00:00,3,86,625,1595,0,0,1,2022-05-07 11:20:23,-1.0,E,@pkythreotis the same when banks in #cyprus and #creditsuisse #switzerland were sending millions of #libya stolen money by #dabaiba and his accomplice #lamlum using multiple bank accounts to other countries by way of #moneylaundering to invest in shady #bussiness and #realestate. #swissleaks,<user> the same when banks in cyprus and credit suisse switzerland were sending millions of libya stolen money by dab aiba and his accomplice lam lum using multiple bank accounts to other countries by way of money laundering to invest in shady bussiness and real estate. swiss leaks
1520027382538809344,868199735517171713,"@asabiyyahfan Why did you leave Norway and Switzerland off the chart?

Wealth per capita is much closer than GDP per capita is. Higher GDP reflects the longer hours worked by Americans.",en,2022-04-29 13:09:03+00:00,4,514,1261,19232,0,0,1,2022-05-07 11:20:23,0.0,P_T_E,"@asabiyyahfan why did you leave norway and switzerland off the chart?

wealth per capita is much closer than gdp per capita is. higher gdp reflects the longer hours worked by americans.",<user> why did you leave norway and switzerland off the chart? wealth per capita is much closer than gdp per capita is. higher gdp reflects the longer hours worked by americans.
1514392488668278784,840756660666810368,@Emmanue66002373 @ToyosiGodwin It’s cos you’re African that’s why you’re thinking like this… if you were to be Norwegian or Swiss where the economy and government is superb you won’t even think of this shit. Do you know how much porn stars in Europe and America are making and also living comfortably lives?,en,2022-04-13 23:58:00+00:00,13,1516,2261,47372,0,0,3,2022-05-07 11:20:23,-1.0,E,@emmanue66002373 @toyosigodwin it’s cos you’re african that’s why you’re thinking like this… if you were to be norwegian or swiss where the economy and government is superb you won’t even think of this shit. do you know how much porn stars in europe and america are making and also living comfortably lives?,<user> <user> it’s cos you’re african that’s why you’re thinking like this… if you were to be norwegian or swiss where the economy and government is superb you won’t even think of this shit. do you know how much porn stars in europe and america are making and also living comfortably lives?
1489217358153793537,938096247965175809,"@swiss_shine @proeiszeitdeaf Dank Corona hatten wir noch nie eins.

Man kann wahrscheinlich niemanden zwingen, aber es wird erwartet und von Seiten der Schule viel Zeit aufgewendet, die man meiner Meinung nach sinnvoller investieren könnte. Ausserdem würde das Kind sich ohne Teilnahme ziemlich exponieren.",de,2022-02-03 12:41:01+00:00,3,580,470,23076,0,0,1,2022-05-07 11:20:23,0.0,P,"@swiss_shine @proeiszeitdeaf dank corona hatten wir noch nie eins.

man kann wahrscheinlich niemanden zwingen, aber es wird erwartet und von seiten der schule viel zeit aufgewendet, die man meiner meinung nach sinnvoller investieren könnte. ausserdem würde das kind sich ohne teilnahme ziemlich exponieren.","<user> <user> dank corona hatten wir noch nie eins. man kann wahrscheinlich niemanden zwingen, aber es wird erwartet und von seiten der schule viel zeit aufgewendet, die man meiner meinung nach sinnvoller investieren könnte. ausserdem würde das kind sich ohne teilnahme ziemlich exponieren."
1516859008866349057,860877410,@PamelaHensley22 20% skim goes to numbered Swiss accounts for our politicians. Another 30% is stolen by Zelensky’s crew. Maybe 50% buys some weapons for Ukraine so the war can last long enough for Biden to keep blaming it for inflation.,en,2022-04-20 19:19:04+00:00,4,233,444,10830,0,0,1,2022-05-07 11:20:23,-1.0,P_T_E,@pamelahensley22 20% skim goes to numbered swiss accounts for our politicians. another 30% is stolen by zelensky’s crew. maybe 50% buys some weapons for ukraine so the war can last long enough for biden to keep blaming it for inflation.,<user> <percent> skim goes to numbered swiss accounts for our politicians. another <percent> is stolen by zelensky’s crew. maybe <percent> buys some weapons for ukraine so the war can last long enough for biden to keep blaming it for inflation.
1391254722082865153,179525357,"@rishibagree World Bank data of 2018
Shows expenditure on public health of GDP

India : 3.54%
US : 16.89%, 
UK : 10%
Sweden : 10.9%, 
Switzerland : 11.88%.",en,2021-05-09 04:52:28+00:00,11,6372,1012,41343,1,0,1,2022-05-07 11:20:23,0.0,P,"@rishibagree world bank data of 2018
shows expenditure on public health of gdp

india : 3.54%
us : 16.89%, 
uk : 10%
sweden : 10.9%, 
switzerland : 11.88%.","<user> world bank data of <number> shows expenditure on public health of gdp india : <percent> us : <percent> , uk : <percent> sweden : <percent> , switzerland : <percent> ."
1396491276980207625,467463940,"Wer stösst am meisten CO2 in Relation zum BIP aus, 1. China 0.65 kg CO2 pro BIP in  %. 2. Russland mit 0.52 3 Südkorea 0.38. Schweiz 0.12 @NZZaS die Schweiz hat dreckige Produktionsweisen exportiert.",de,2021-05-23 15:40:40+00:00,46,25716,3795,49374,6,3,11,2022-05-07 11:20:23,-1.0,P,"wer stösst am meisten co2 in relation zum bip aus, 1. china 0.65 kg co2 pro bip in  %. 2. russland mit 0.52 3 südkorea 0.38. schweiz 0.12 @nzzas die schweiz hat dreckige produktionsweisen exportiert.","wer stösst am meisten co2 in relation zum bip aus, <number> . china <number> kg co2 pro bip in %. <number> . russland mit <number> <number> südkorea <number> . schweiz <number> <user> die schweiz hat dreckige produktionsweisen exportiert."
1499668006049308672,467463940,Ist die Schweizer Armee auch so blank wie die deutsche Bundeswehr? Und muss die Schweiz jetzt auch mindestens 1% des BIP für die Armee ausgeben (das wären 7 Mrd Fr.) Bundesrätin Viola Amherd nimmt Stellung am Montag bei #srfecotalk 22.25 Uhr #srfnews,de,2022-03-04 08:48:09+00:00,34,25716,3795,49374,5,1,11,2022-05-07 11:20:23,0.0,P,ist die schweizer armee auch so blank wie die deutsche bundeswehr? und muss die schweiz jetzt auch mindestens 1% des bip für die armee ausgeben (das wären 7 mrd fr.) bundesrätin viola amherd nimmt stellung am montag bei #srfecotalk 22.25 uhr #srfnews,ist die schweizer armee auch so blank wie die deutsche bundeswehr? und muss die schweiz jetzt auch mindestens <percent> des bip für die armee ausgeben (das wären <number> mrd fr.) bundesrätin viola amherd nimmt stellung am montag bei srf eco talk <number> uhr srf news
1516291993563017219,1512141890111655948,"$doge is overrated 
$DFI is underrated 

Choose wisely where you want to invest your hard earned $$! Invest today and don't wait too long.

You can buy $DFI on @kucoincom, @DFX_Swiss or @cakedefi!",en,2022-04-19 05:45:57+00:00,7,8,4,1135,6,0,0,2022-05-07 11:20:23,0.0,E,"$doge is overrated 
$dfi is underrated 

choose wisely where you want to invest your hard earned $$! invest today and don't wait too long.

you can buy $dfi on @kucoincom, @dfx_swiss or @cakedefi!","$doge is overrated $dfi is underrated choose wisely where you want to invest your hard earned $$! invest today and don't wait too long. you can buy $dfi on <user> , <user> or <user> !"
1454069412353482753,1346887750247718917,I wonder how other players in the swiss CSGO scene practice individually? Would be nice to hear how other players do it and how much time you invest into it.,en,2021-10-29 12:55:37+00:00,12,98,77,290,0,0,15,2022-05-07 11:20:23,0.0,T,i wonder how other players in the swiss csgo scene practice individually? would be nice to hear how other players do it and how much time you invest into it.,i wonder how other players in the swiss csgo scene practice individually? would be nice to hear how other players do it and how much time you invest into it.
1481567055870631936,467463940,Bleibt die US-Inflation hoch oder kommt sie Ende Jahr zurück? Und was macht jetzt die SNB? Mehr dazu bei #srfboerse mit Swiss-Life-Chefökonom @MarcBruetsch um 19.25 Uhr,de,2022-01-13 10:01:26+00:00,3,25716,3795,49374,0,0,1,2022-05-07 11:20:23,0.0,P,bleibt die us-inflation hoch oder kommt sie ende jahr zurück? und was macht jetzt die snb? mehr dazu bei #srfboerse mit swiss-life-chefökonom @marcbruetsch um 19.25 uhr,bleibt die us-inflation hoch oder kommt sie ende jahr zurück? und was macht jetzt die snb? mehr dazu bei srf boerse mit swiss-life-chefökonom <user> um <number> uhr
1425203761534967813,241994255,"@Samfr I like the Swiss system of percentiles for norm referenced exams - greatly reduces the significance of grade boundaries, and does away with grade inflation. Quails that should be criterion referenced, e.g. maths and English GCSE, should become so.",en,2021-08-10 21:13:50+00:00,6,30640,7631,42857,1,0,3,2022-05-07 11:20:23,1.0,T,"@samfr i like the swiss system of percentiles for norm referenced exams - greatly reduces the significance of grade boundaries, and does away with grade inflation. quails that should be criterion referenced, e.g. maths and english gcse, should become so.","<user> i like the swiss system of percentiles for norm referenced exams - greatly reduces the significance of grade boundaries, and does away with grade inflation. quails that should be criterion referenced, e.g. maths and english gcse, should become so."
