,author_id,username,author_followers,author_tweets,author_description,author_location,text,lang,created_at,retweets,replies,likes,quote_count
0,1409940528284594180,serbiamontene11,9,1611,,your house ,"Zimbabwe. Moscow had previously lifted curbs on air links with 15 nations, including the countries of the Eurasian Economic Union (EAEU), Qatar, Mexico, the Dominican Republic, Cuba, UAE, Turkey, Finland, the Czech Republic, Switzerland, South Korea, and Egypt.

USA AND EU 😂",en,2022-04-04 23:58:37+00:00,0,0,1,0
1,1426697206371848195,remin3d,49,544,i like to play games and talk movies. | never stream but i dream. | minor. (17). | autistic adhd,he/it/xe,"here's the link if anyone wants it! i've seen some good things about it, just not sure if it's my cup of tea! https://t.co/NBzxnlvJC7",en,2022-04-04 23:53:33+00:00,0,0,0,0
2,859754699414798336,TheFrozenToes24,1554,5427,"Xbox gt: FrozenToes24 |
Owner of Shake N' Bake club |
NASCAR League Owner l Driver/
Race Announcer/Broadcaster |",,Round 2: SnB at Auto Club! https://t.co/yeedPukCKg,en,2022-04-04 23:39:45+00:00,0,1,5,0
3,1339389392,qayyumawan1010,94,22700,,,Turkish Switzerland AGP bus Car calculate transmitting Market green Keyboard enhance North https://t.co/EGT1R4lFl9,en,2022-04-04 23:29:41+00:00,0,0,0,0
4,864409134594220032,mgarrtner,731,8760,"Information Archaeologist - Treasure Hunter - Amberroom Expert - Expert Lost Russian + Ukraine Art

Zukunft ist die Gegenwart der Vergangenheit! #Z #PunktNull",Vienna - Berlin - Vladivostok,"@Weisse_Kerze @sven34262416 @h0tzenpl0tzz @AndreDeutschBCN @GanoRalf @ABaerbock .... wie unseren @eckert_official auch. Und natürlich #JanMarsalek, der da neben der Bank #Warburg und einem derer Manager, der gleichzeitig bei der #UBS Schweiz arbeitet. Das wird nicht lustig, den einige der Dokument kommen aus Russland, wo man sehr genau weiß wer wo ist!",de,2022-04-04 23:20:01+00:00,0,1,1,0
5,910634761210785792,Temebrarius,1184,3298,🇩🇪 🇬🇧 German / British - Military Trauma Surgeon | RNMS & Médecins Sans Frontières | Languages 🗣 English / Deutsch / Català / Español / Llanito / Français,Ukraine,"@walterlekh @nemapovnovazhen Her salary is insane by the way, and tax free in a Swiss bank account, plus benefits for relatives (even boyfriends) and free education at all levels.

https://t.co/baXFBRr91e

Oh and she gets 13 salary payments a year (normal in Switzerland).",en,2022-04-04 23:05:51+00:00,0,0,2,0
6,36790296,rwl140172,170,28448,,Liverpool,@cjenscook @Quamfy_Trader @onionrick @hmtreasury @RishiSunak @RoyalMintUK Sorry Cris from Twitter a expert in finance so really should be chancellor in fact I suppose must be a billionaire as knows so much. Fact is if that easy all nations do it and no poverty. Bit like these nations with high wealth ie Switzerland the price or everything is expensive,en,2022-04-04 23:00:57+00:00,0,1,0,0
7,1897865191,FarahkhanKk,112,31994,,,facilitate Switzerland Web multi-byte maroon Fuerte Orchestrator XSS invoice Functionality Market programming https://t.co/Rivjpe4LI5,en,2022-04-04 22:48:38+00:00,0,0,0,0
8,2808960217,toleyasa,78,31571,"bagi yang mw merasakan kepuasan dari gw, pesan langsung for fun aj sob,, cengkareng palem",,platforms Handcrafted online Personal Money Switzerland Cambridgeshire Regional Markets Fresh Ukraine Buckinghamshire https://t.co/qy54Xt6FHk,en,2022-04-04 22:47:23+00:00,0,0,0,0
9,1022521522253180934,RSWealthAdvisor,108,424,We are a wealth management firm that provides leading investment strategy and comprehensive financial planning to our clients on an innovative digital platform.,"San Francisco, CA","The Swiss National Bank owned US equities worth a record $162B at 6/21, The SNB held shares in 2,642 companies, including a $6bn stake in Amazon. Other holdings included AMC, GameStop, and Palantir disclosed with the SEC. #RSCIOSTUARTKATZ https://t.co/MsigeAV5dV",en,2022-04-04 22:44:46+00:00,0,0,0,0
10,756520461547212807,rubu481,444,34683,"Only doing what is #TheRightThingToDo #StopASSadPutin
Supporting those demanding #FreedomFromOppression 
NO ONE IS FREE UNTIL EVERYONE IS FREE!",,Mit dem Export von Gas und Öl finanziert Russland den Krieg gegen die Ukraine. Jeden Tag fliessen zurzeit rund zehn Millionen Franken aus der Schweiz in die Kassen des Kremls. Das muss jetzt gestoppt werden! Bitte unterschreibe diese wichtige Petition: https://t.co/mrBO5bV5k0,de,2022-04-04 22:43:36+00:00,0,0,0,0
11,1392204259610054657,Somewherefire,231,1263,,Switzerland,"@Blickch Nein wirklich? Vor 10 Stunden klang es noch so beim Blick 
Unabbhängigkeit von Russland: Schweiz will mit Gasspeicher Putin austricksen https://t.co/6RMDsKLdOS",de,2022-04-04 22:42:37+00:00,0,0,3,0
12,22781017,Blickch,270812,114988,"News & Recherchen von #Blick, #BlickTV & #SonntagsBlick.
Sport 👉 @Blick_Sport 
Auf Französisch 👉  @Blick_fr
Leserreporter 📲  0798138041 https://t.co/HWrudXBIXR",Switzerland,Wenn der Westen ein Embargo gegen Putin beschliesst: Der Schweiz droht das Gas-Fiasko https://t.co/YkiJREli9V,de,2022-04-04 22:34:51+00:00,0,14,4,0
13,30528687,FireDispatchSMC,2755,251278,"Fire incidents within San Mateo County, CA","San Mateo County, CA","Fire alarm - water flow, 1001 NATIONAL AVE ,SNB (04/04/22 15:27:05)",en,2022-04-04 22:30:16+00:00,0,0,1,0
14,1015206501512867842,OpenBibleOverc1,1873,10200,"Brian Briscoe Teacher, Evangelist, Dr. of Divinity, Ordained Minister, Bible Student, Blood Bought Born Again Christian. 725 East Broadway","Stratford, Connecticut 06615","#Breaking NEWS

Moscow had previously lifted curbs on air links with 15 nations, including the countries of the Eurasian Economic Union (EAEU), Qatar, Mexico, the Dominican Republic, Cuba, UAE, Turkey, Finland, the Czech Republic, Switzerland, South Korea, and Egypt.",en,2022-04-04 22:24:48+00:00,0,0,1,0
15,1438677043563085824,Swantastic5326,11,213,"Perseverance, sense of humor, compassion",,"The apex of the systems was to be the Bank for International Settlements in Basel, Switzerland, a private bank owned and controlled by the worlds central banks which were themselves private corporations.",en,2022-04-04 22:23:54+00:00,0,0,0,0
16,20645106,Aerohaveno,5038,141756,"Travel writer working on Wurundjeri land in Melbourne, Australia. Rail travel books out now: Heading South, Ultimate Train Journeys. See https://t.co/DaAhDbrOrV","Melbourne, Australia","Something I wrote after going to great heights for the James Bond brunch in Switzerland: | You’re very sure of yourself, aren’t you? Suppose I were to kill you for a thrill?” https://t.co/NKExyQEAvm",en,2022-04-04 22:20:39+00:00,0,0,0,0
17,3946109487,RTO_Kollegin,1970,15091,"Aktuelle #Bordell & #ErotikJobs, #Vermietungen & #Rotlicht_Immobilien aus #Deutschland, #Österreich & der #Schweiz
Kontakt, Preise, Impressum auf: #Kollegin.de",Europe,"Viele Gäste, viel Geld!! Bei Pameland®️ verdient man wirklich Geld !!! - #Kollegin Viele Gäste, viel Geld!! Bei Pameland®️ verdient man wirklich Geld !!! https://t.co/cnuIGEXopY",de,2022-04-04 22:20:21+00:00,0,0,0,0
18,1447047538947862528,yoongibrand,1365,7849,A global union dedicated to improve SUGA's Brand Reputation on all indexes with dynamics and updates,🇺🇸🇸🇬🇲🇽🇯🇵🇵🇭,"[VOTE FOR SUGA]

—STARNEWS KOREA 
23th favorite male idol poll 

Rank:#7
https://t.co/MPWIlJCtSe

Use all your accounts or create more

⚠️ Ends on April 7

#방탄소년단슈가 #SUGA #슈가 #BTSSUGA #シュガ @BTS_twt https://t.co/siQiDHTNfK",en,2022-04-04 22:20:00+00:00,1,1,1,0
19,1370807670626787329,Arthur__Burton,756,19165,They kill me because they are afraid of me; and what more can any man's heart desire?,"Florenz, Toskana","@BIS_org @SNB_BNS In terms of poverty, saving for the future, and banking the unbanked, #Bitcoin is accomplishing in years for free what the World Bank has (ostensibly) been trying to address for decades with billions. It’s time to scrap the old game plans and pivot to global Bitcoin adoption.",en,2022-04-04 22:20:00+00:00,0,0,1,0
20,1370807670626787329,Arthur__Burton,756,19165,They kill me because they are afraid of me; and what more can any man's heart desire?,"Florenz, Toskana","@BIS_org @SNB_BNS Just retire into the sunset, @BIS_org. Get a personal BTC bag, and switch your strategy to devoting your bottomless well of resources to getting the world on a sound money system. Everything will self-correct. You can die a hero or a villain.",en,2022-04-04 22:19:25+00:00,0,1,0,0
21,1370807670626787329,Arthur__Burton,756,19165,They kill me because they are afraid of me; and what more can any man's heart desire?,"Florenz, Toskana","@BIS_org @SNB_BNS I know there are bad actors and evil lurking behind Davos Man, I know many of them regard us untermensch as cattle (can you blame them though ffs). But Bitcoin is a better solution than theirs. And best part, they can ape into it too and save their own asses.",en,2022-04-04 22:18:17+00:00,0,1,0,0
