,tweet_id,author_id,tweet,lang,tweet_time,like_count,follower_count,following_count,tweet_count,retweet_count,quote_count,reply_count,call_berlin_time
8998,1388362599310532608,1558653817,"@hum_dekhege @HamidMirPAK Start with reforms instead of taunting each other.
A beggar's economy can't generate jobs.
Take daring steps.
Hang a few sacred cows who r posing as leaders on social media as leaders.
Sell Bilawal houses, Evenfields and repatriate money from swiss banks of Surrey palace etc 1/2",en,2021-05-01 05:20:12+00:00,1,906,4353,14668,0,0,1,2022-05-07 11:06:56
8997,1388387848466968579,1367303714994860032,"@0xMoonbags Yeah if you looking for inflation protection most currencies will be bad, PAXG maybe a better way, not sure if there is one for GBP or Swiss franc.",en,2021-05-01 07:00:32+00:00,0,387,807,3041,0,0,0,2022-05-07 11:06:56
8996,1388452435795005442,1290659739324604416,"They won't invest in something they don't believe in. All the ""protection plans"" in Switzerland ignore aerosols and @BAG_OFSP_UFSP is against FFP2 masks 😶",en,2021-05-01 11:17:11+00:00,10,377,1194,42807,0,0,0,2022-05-07 11:06:56
8995,1388500362479357958,996689497818652673,"@AngelaMerkeICDU oops..its 6 nation..INDIA EXCLUDED! FRANCE- INCL OF LEBANON (less GDP) &amp; France partner! 
DENMARK
GERMANY
SPAIN
SWISS
NL
@EmmanuelMacron v discd in detail in 2019 via email. FREEDOM MONEY PROSPERITY HAPINESS VVIP LAVISH LIFE BEGINS IN MY EU! @NSAajitkdoval",en,2021-05-01 14:27:38+00:00,1,0,1,39682,0,0,1,2022-05-07 11:06:56
8994,1388510031130238978,2880604596,"@priyapyadav18 So? I am getting  votes from them &amp;winning elections, isnt it,@narendramodi ?when I come into opposition,then I will talk abt inflation,jobs,Healthcare,Swiss black money....when I govern,it will be party,sangh,ambani,adani,biyani,electrol bonds,expensive suits,ads...",en,2021-05-01 15:06:03+00:00,1,864,5001,19750,0,0,0,2022-05-07 11:06:56
8993,1388551940137750528,1387378888213413888,"@SchwarzwaldSoze @Kurnugia1 @heyitsMaddie_x @ColinD66 @OrangeJuiceTN @casperlaho @EuropeElects It will be the Scottish Pound, but the main problem may be its attractiveness which could turn it into another Swiss Franc. As Scotland is the only part of the UK which has an export surplus, this could be a problem. The economy is diverse and stable, thanks.",en,2021-05-01 17:52:35+00:00,0,109,93,2571,0,0,0,2022-05-07 11:06:56
8992,1388630280290717698,1107369008712413184,"@Quantum_Sport @wataruen Switzerland has a very large pharma industry.  It produces 5.6% of the total GDP and 30% (by value) of its exports.  It did not produce its own vaccine.  The most widely used ""US vaccine"" (Pfizer-BioNTech) was actually developed by the German side (BioNTech).",en,2021-05-01 23:03:52+00:00,2,613,99,37022,0,0,1,2022-05-07 11:06:56
8991,1388780050229731329,14675346,".@SNB_BNS_de Die Schweizerische Nationalbank verursacht mit ihren Investitionen so viel CO2-Ausstoss, wie die GANZE Schweiz im Inland. Jetzt Finanzierung der Klimakrise stoppen! #ExitFossilFuelsNow @campaxorg",de,2021-05-02 08:59:00+00:00,52,26299,1943,30402,12,0,0,2022-05-07 11:06:56
8990,1388782105354715139,1204883194358763522,"@MichaelaArouet @ZSchneeweiss If we have negative interest rates in Switzerland it is since we removed the floor rate, our currency took too much value, it was necessary that we remain competitive in export. About real estate is constant healthy growth.",en,2021-05-02 09:07:10+00:00,1,33,103,945,0,0,0,2022-05-07 11:06:56
8989,1388815355599114244,1328070358986002441,@DebraG_Robins @jfhksar88 @stokdog Thx for the tip! Here is one from a swiss. Dont think of snb too much. Imo they are increasingly dependend on the outside,en,2021-05-02 11:19:18+00:00,1,61,174,1137,0,0,0,2022-05-07 11:06:56
8988,1388852028609290242,1178320264590954497,"@VodekP @andreas_glarner @UniaSchweiz Dass die Schweiz eine Demokratie ist, in der jeder den grössten Unsinn erzählen kann und anständige Leute beleidigen kann, beweisen Sie eindrücklich. Ich hoffe, dass Sie ausser braune Luft auch aktiv etwas zur Volkswirtschaft beitragen.",de,2021-05-02 13:45:01+00:00,9,426,320,23434,0,0,1,2022-05-07 11:06:56
8987,1388883131676168192,13967362,".@SNB_BNS_de Die Schweizerische Nationalbank verursacht mit ihren Investitionen so viel CO2-Ausstoss, wie die GANZE Schweiz im Inland. Jetzt Finanzierung der Klimakrise stoppen! #ExitFossilFuelsNow @campaxorg",de,2021-05-02 15:48:37+00:00,1,2,30,231,0,0,0,2022-05-07 11:06:56
8986,1388883459897241611,276465953,"@RavenEconomic Banking secrecy ended in January 2017. The banking activities in London, Amsterdam, and Frankfurt dwarf those of  Zurich. The Swiss economy is all about Pharmaceuticals/Chemicals and Engineering.",en,2021-05-02 15:49:55+00:00,0,81,404,2975,0,0,0,2022-05-07 11:06:56
8985,1388892740252053506,164413731,"@youngillyrian @albademiks Even if I live in Swiss, I spend a lot of time in my home land and invest there. 
I am not against this, I’m just against with ""arab money"". Will will end up with money laundering.",en,2021-05-02 16:26:48+00:00,1,299,552,8729,0,0,0,2022-05-07 11:06:56
8984,1388909541639741440,1366300385435131907,"@AdamG1811 @kristo279 @MarxIsMyNigga Yes, non profit sick funds paying for healthcare set up and regulated by government. The US doesnt have that. tens of millions have no coverage despite us spending 17% of gdp on healthcare, whereas say swiss pay 11% for universal coverage, as the rest of europe.",en,2021-05-02 17:33:34+00:00,0,15,444,2056,0,0,1,2022-05-07 11:06:56
8983,1388921676088369152,1366300385435131907,"@AdamG1811 @kristo279 @MarxIsMyNigga Doesnt pay a penny?  The Swiss population spend 11% of their GDP on healthcare, private or public, you still have to pay for it, but in the US it is 17% of GDP for worse treatment. And we dont regulate a ban on profit on basic plans like the Swiss or Israel. Ooops.",en,2021-05-02 18:21:47+00:00,0,15,444,2056,0,0,1,2022-05-07 11:06:56
8982,1388929628069367813,241993071,"@ZenWayof I want owners who will properly invest in the club not put in 22 million in the last 3 years as Swiss Ramble showed the other day while Everton owner put in 330 million in the same time, I want owners that will speculate to accumulate",en,2021-05-02 18:53:23+00:00,1,15229,4305,176582,0,0,1,2022-05-07 11:06:56
8981,1388930455626522626,241993071,"@matt4dsaviour They don't invest anything at all in Liverpool, we need owners that will speculate to accumulate, Swiss Ramble showed the other day they've only invest 22 million in last few years same time period Everton and Villa owners for example have invested 330 million plus each",en,2021-05-02 18:56:40+00:00,1,15229,4305,176582,0,0,1,2022-05-07 11:06:56
8980,1388964096138166275,1056653626058387457,"#SRFDOK „Der grösste Wirtschaftssektor in der Schweiz ist der produzierende.“ Falsch: Es ist der Care-Sektor, der empörenderweise im BIP nicht erfasst ist! #WirtschaftistCare",de,2021-05-02 21:10:20+00:00,14,679,546,16256,3,1,0,2022-05-07 11:06:56
8979,1388971185518559234,322617264,"@factor_members 1/2 In Europe banks charge depositors for depositing cash with them. Swiss banks want over €1mn otherwise they charge. Not being charged let alone, getting paid a rate of interest is an attractive proposition. Where else can people deposit? China/Singapore...?",en,2021-05-02 21:38:31+00:00,0,62,428,678,0,0,1,2022-05-07 11:06:56
8978,1389047570480177153,1054066718,"GDP (trillion$)
🇺🇲US 22.7
🇨🇳China16.6
🇯🇵Japan 5.4
🇩🇪Germany4.3
🇬🇧United Kingdom 3.1

GDP PPP(million$)
🇨🇳China26.7 
🇺🇲US 22.8
🇮🇳India10.2
🇯🇵Japan 5.6
🇩🇪Germany4.7

GDP per capita($)
🇱🇺Luxembourg131,782
🇨🇭Switzerland 94,696
🇮🇪Ireland 94,556
🇳🇴Norway 81,995
🇺🇲US 68,309",en,2021-05-03 02:42:02+00:00,7,8638,6418,10404,3,0,1,2022-05-07 11:06:56
8977,1389068983689678850,83206834,"@brenda11831 @organicfanatic5 It's also one of the more expensive health care systems in the world as a percent of GDP behind only the US &amp; Switzerland, &amp; is no better quality than that of nations such as AU, NZ, UK, or the Nordic countries.",en,2021-05-03 04:07:08+00:00,1,2417,2142,38700,0,0,1,2022-05-07 11:06:56
8976,1389098219066568706,460288171,"VORBÖRSE SCHWEIZ:

$SMI 0,26%
$SMIM +0,10%

$NOVN +1,1% (Produktnews)

$GAM -0,1%
$HUBN +0,8% (Firmenkauf)
$LAND +1,1% (Firmenkauf)

Übrige Aktien gut gehalten gestellt.",de,2021-05-03 06:03:18+00:00,1,5123,297,21107,0,0,0,2022-05-07 11:06:56
8975,1389101084430454786,460288171,"SWISS PREMARKET:

$SMI 0,26%
$SMIM +0,10%

$NOVN +1,1% (product news)

$GAM -0,1%
$HUBN +0,8% (acquisition)
$LAND +1,1% (acquisition)

Most other shares marginally higher traded so far.",en,2021-05-03 06:14:41+00:00,2,5123,297,21107,0,0,0,2022-05-07 11:06:56
8974,1389134756449763331,381153354,@BWCHBoss The Swiss cheese model springs to mind. I think we've all worked  where the culture has been to take the easy option and promote the wrong people instead of taking the time to invest in the process of getting the right people who will challenge and advance the status quo,en,2021-05-03 08:28:29+00:00,11,136,256,863,1,0,1,2022-05-07 11:06:56
8973,1389139530800848896,742413254,"@THEnergyNet @TritiumCharging @CompleoS @DeltaEMEA @ENERCON_UK @Entratek @evbox @EVTECfastcharge @IES_Synergy @JuiceTechnology @KreiselElectric @LafonPulse @MAGNUM_CAP @petrotec_group @IONITY_EU @bppulseuk @gofast_swiss @rubenbrandwagt @theoreichgelt @adrianomones @ubitricity @ChargeUpEurope @hubject @Plugsurfing @GWOperator 👉 EDF looking to float Pod Point on London Stock Exchange.
👉 eSmart Networks (Nexus Infrastructure #NEXS ), order book up 450% over H1 2020.",en,2021-05-03 08:47:27+00:00,2,94,372,338,0,0,0,2022-05-07 11:06:56
8972,1389175906598588419,1334262448032018435,"USA 🇺🇸
Japan 🇯🇵
Germany 🇩🇪
England 🇬🇧
France 🇫🇷
Italy 🇮🇹
Canada 🇨🇦
G7 Total = 9.70%
+
G Korea 🇰🇷
Australia 🇦🇺
Switzerland 🇨🇭
Sweden 🇸🇪
Belgium 🇧🇪
Israel 🇮🇱
Denmark 🇩🇰
Portugal 🇵🇹

Total Inflation 16.73% 💁‍♂️

TURKEY 🇹🇷 17.14% 🤷",de,2021-05-03 11:12:00+00:00,1,102,96,80,0,0,0,2022-05-07 11:06:56
8971,1389181390445588480,1011946052537249793,"@WyeLea Ireland would be wise to have a referendum over this. It’s a potential point of inflexion for the economy. People need a direct choice.

And watch out for the EU closing its grip around Switzerland next. They hate the Swiss economic model which has been successful for decades.",en,2021-05-03 11:33:47+00:00,2,1587,1149,24000,0,0,1,2022-05-07 11:06:56
8970,1389206003518951431,863490558,Asset manager WisdonTreees announced the listing of Ethereum exchange-traded products (ETP) on the Swiss and German stock exchanges. The new ETP will trade with the ticker “ETHW” and will track the spot price of Ethereum (ETH). The physically-backed ETP also has an expense ratio,en,2021-05-03 13:11:36+00:00,0,3320,516,1745,0,0,0,2022-05-07 11:06:56
8969,1389206436794617857,272381136,"@jchatterleyCNN come to Japan, prices change daily, daily, daily, but if I would invest my money may sound stupid but I would invest in Swiss Air but I have zero honest investors",en,2021-05-03 13:13:19+00:00,0,5,231,5215,0,0,0,2022-05-07 11:06:56
8968,1389215941712650246,958434781745811456,"@PeterMi53946964 @BorisJohnson @boconline Hi, I understand the UK has reduced its commitment from 0.7% to 0.5% of GDP.  Other countries have differing commitments most of whom are still less than the reduced UK amount i.e.Belgium and France are 0.43%, the US is 0.2%, Ireland is 0.31%, Canada is .48%, Switzerland is 0.44%",en,2021-05-03 13:51:05+00:00,1,12,145,1818,0,0,0,2022-05-07 11:06:56
8967,1389245896081219585,1352413299598647301,This is exactly what the United States deserves for being so hypocritical as to compromise Swiss financial institutions account’s secrecy to the point that I’m now unable to buy a Gold ETF on the Swiss Stock Exchange. ZGLD anyone?,en,2021-05-03 15:50:07+00:00,0,1,0,5898,0,0,1,2022-05-07 11:06:56
8966,1389285045429538823,958434781745811456,"@chrismiller_uk The UK has reduced its commitment from 0.7% to 0.5% of GDP.  Majority of other countries are still less than the reduced UK amount i.e.Canada- .48%, Switzerland-0.44%,  Belgium &amp; France- 0.43%, Ireland 0.31% and US is 0.2%.  you could include Spain, Italy etc as well.",en,2021-05-03 18:25:41+00:00,0,12,145,1818,0,0,0,2022-05-07 11:06:56
8965,1389287704148447239,249811175,".@SNB_BNS_de Die Schweizerische Nationalbank verursacht mit ihren Investitionen so viel CO2-Ausstoss, wie die GANZE Schweiz im Inland. Jetzt Finanzierung der Klimakrise stoppen! #ExitFossilFuelsNow @campaxorg",de,2021-05-03 18:36:15+00:00,4,86,311,1448,1,0,0,2022-05-07 11:06:56
8964,1389288262108213249,1352281643923345410,@J00NB0NS4I @shendaxiagay i have to save and invest the money for my future... bcs who knows that i'll move to switzerland someday and what if i don't have enough savings?,en,2021-05-03 18:38:28+00:00,0,15,34,4399,0,0,1,2022-05-07 11:06:56
8963,1389327020677599234,1276397224977719296,"@TuckerOdom @EverydayBastiat Free market """"""neoliberalism"""""" isn't a contradiction to workers unions lmao. Sweden, Denmark, Iceland, Norway, and Switzerland all lack federal minimum wage laws yet score very high on the economic freedom index.",en,2021-05-03 21:12:28+00:00,0,65,38,3122,0,0,2,2022-05-07 11:06:56
8962,1389371339643961348,54846683,"Moderna: ca. 30US$/Dosis
1kg Schweizer Kartoffeln: ca. 1.30 CHF/kg

""Konsum"" Schweiz: 
13M Dosen Moderna = 390M US$
430'000t Kartoffeln = ca. 560M CHF

Das ist der Grund, wieso die Schweiz kein ""eigenes"" Moderna produzieren will. 
Lieber in Kartoffeln investieren. 🤣😉😇",de,2021-05-04 00:08:35+00:00,3,722,312,30254,0,0,0,2022-05-07 11:06:56
