,Unnamed: 0,tweet_id,author_id,tweet,lang,tweet_time,like_count,follower_count,following_count,tweet_count,retweet_count,quote_count,reply_count,call_berlin_time,annotate_sent,annotate_person
0,8754,1388780050229731329,14675346,".@SNB_BNS_de Die Schweizerische Nationalbank verursacht mit ihren Investitionen so viel CO2-Ausstoss, wie die GANZE Schweiz im Inland. Jetzt Finanzierung der Klimakrise stoppen! #ExitFossilFuelsNow @campaxorg",de,2021-05-02 08:59:00+00:00,52,26299,1943,30402,12,0,0,2022-05-07 11:20:23,-1,P
1,8751,1388852028609290242,1178320264590954497,"@VodekP @andreas_glarner @UniaSchweiz Dass die Schweiz eine Demokratie ist, in der jeder den grössten Unsinn erzählen kann und anständige Leute beleidigen kann, beweisen Sie eindrücklich. Ich hoffe, dass Sie ausser braune Luft auch aktiv etwas zur Volkswirtschaft beitragen.",de,2021-05-02 13:45:01+00:00,9,426,320,23434,0,0,1,2022-05-07 11:20:23,-1,P
2,8743,1388964096138166275,1056653626058387457,"#SRFDOK „Der grösste Wirtschaftssektor in der Schweiz ist der produzierende.“ Falsch: Es ist der Care-Sektor, der empörenderweise im BIP nicht erfasst ist! #WirtschaftistCare",de,2021-05-02 21:10:20+00:00,14,679,546,16256,3,1,0,2022-05-07 11:20:23,-1,P
3,8728,1389287704148447239,249811175,".@SNB_BNS_de Die Schweizerische Nationalbank verursacht mit ihren Investitionen so viel CO2-Ausstoss, wie die GANZE Schweiz im Inland. Jetzt Finanzierung der Klimakrise stoppen! #ExitFossilFuelsNow @campaxorg",de,2021-05-03 18:36:15+00:00,4,86,311,1448,1,0,0,2022-05-07 11:20:23,-1,P
4,8725,1389371339643961348,54846683,"Moderna: ca. 30US$/Dosis
1kg Schweizer Kartoffeln: ca. 1.30 CHF/kg

""Konsum"" Schweiz: 
13M Dosen Moderna = 390M US$
430'000t Kartoffeln = ca. 560M CHF

Das ist der Grund, wieso die Schweiz kein ""eigenes"" Moderna produzieren will. 
Lieber in Kartoffeln investieren. 🤣😉😇",de,2021-05-04 00:08:35+00:00,3,722,312,30254,0,0,0,2022-05-07 11:20:23,1,P
5,8704,1389849356602429441,467463940,Die Teuerung in der Schweiz ist wieder positiv - und zwar liegt sie im April bei 0.3%. Noch im Dezember ging war die Inflation mit 1.7% negativ. Vor allem die höheren Ölpreise schlagen jetzt durch. Zudem ist der Franken im 1. Quartal schwächer geworden.,de,2021-05-05 07:48:03+00:00,12,25716,3795,49374,0,0,2,2022-05-07 11:20:23,0,P
6,8691,1390213378132615171,1211427329173442561,@buechi_bchi @georg_kofler @ben_brechtken Laut Ihrem Profil leben Sie in der Schweiz (Steuerquote im Verhältnis zum BIP um 20%). Im Euroraum lag die Steuerquote 2019 bei 41%. Da scheinen Sie mir mit Ihrer Sympathie für die Grünen in D doch ein ordentlicher Heuchler zu sein. Und das Foto unterstreicht diese Heuchelei.,de,2021-05-06 07:54:32+00:00,39,70,420,15547,1,0,2,2022-05-07 11:20:23,-1,P
7,8676,1390548727413329920,887211942225616896,"Vorbörse Schweiz:

SMI: +0,57%
SMIM: +0,6%

Sika +1,9%
CS +1,1%
LafargeHolcim -2,3% exDiv

Ascom +2,5%
Sonova +1,8% Übernahme
Zur Rose +1,5%
Valiant -1,8%",de,2021-05-07 06:07:06+00:00,5,2865,147,6832,5,0,0,2022-05-07 11:20:23,0,P
8,8649,1391493575259660288,1390026120804847616,"@ElongateDACH @elongateog Große Charity Familie.🤗
@elongateog @ElongateDACH 
#elongate #ELONGATE4CHARITY #ELONGATETOKEN #elongate4india #ELONGATE4CHILDREN #German #Germany #schweiz #Oesterreich #Kryptowaehrung #krypto #Nachrichten #investieren #charity #geld",de,2021-05-09 20:41:35+00:00,7,173,156,14586,1,0,0,2022-05-07 11:20:23,0,P
9,8606,1392472185994944513,953615365032079361,"Jetzt lesen: Klare Position von Peter Huber, Head Public &amp; Economic Affairs bei Novartis Schweiz, zum #CO2Gesetz.

""Klimaschutz ist eine lohnende Investition, schafft Arbeitsplätze und bringt die Schweiz und ihre Wirtschaft vorwärts. Deshalb ein klares Ja!""

#CO2GesetzJa",de,2021-05-12 13:30:14+00:00,5,1680,936,370,1,0,0,2022-05-07 11:20:23,1,P
10,8573,1393163013973229572,1425976159,"Zurzeit wird immer wieder auf den 8 Mrd. Franken herumgerieten, welche die Schweiz pro Jahr für Mineralölimporte ausgibt. Dabei wird vergessen das allein vom Verkehr ≥ 120 Mrd. CHF bzw. 20% des BIP abhängen. #CO2Gesetz",de,2021-05-14 11:15:20+00:00,20,3606,1798,29036,5,0,3,2022-05-07 11:20:23,0,P
